geneSymbol,half_life
1500032D16Rik,6.52
1500032L24Rik,9.108
1500034J01Rik,6.484
1500035H01Rik,7.109
1500035N22Rik,5.196
1500041N16Rik,11.788
1520401A03Rik,18.385
1520402A15Rik,2.509
1600002H07Rik,6.134
1600002K03Rik,14.906
1600002O04Rik,4.667
1600012F09Rik,3.429
1600012H06Rik,2.495
1600012P17Rik,24
1600014C10Rik,15.717
1600014C23Rik,10.647
1600014E20Rik,3.565
1600014K23Rik,24
1600015H20Rik,9.804
1600016N20Rik,22.004
1600019K03Rik,24
1600020E01Rik,12.931
1600021P15Rik,4.79
1600025M17Rik,6.815
1600027J07Rik,12.931
1600027N09Rik,7.342
1600029D21Rik,17.157
1600029O15Rik,7.736
1700001C02Rik,17.548
1700001C19Rik,7.591
1700001D09Rik,18.533
1700001F09Rik,24
1700001G17Rik,5.686
1700001J03Rik,9.001
1700001J04Rik,15.003
1700001K19Rik,23.338
1700001K23Rik,24
1700001L05Rik,7.608
1700001L19Rik,10.696
1700001O22Rik,10.746
1700001P01Rik,24
1700003D09Rik,8.05
1700003E16Rik,6.526
1700003E24Rik,24
1700003F12Rik,13.946
1700003G18Rik,6.048
1700003M02Rik,24
1700003N22Rik,9.482
1700003O08Rik,2.787
1700006H03Rik,14.031
1700006J14Rik,24
1700006P19Rik,12.511
1700007B13Rik,7.642
1700007E06Rik,24
1700007G11Rik,6.762
1700007H22Rik,10.984
1700007I06Rik,8.785
1700007I08Rik,3.018
1700007K09Rik,3.87
1700007K13Rik,8.664
1700007N14Rik,9.037
1700007P06Rik,16.271
1700008A04Rik,12.98
1700008G05Rik,24
1700008I05Rik,11.788
1700008O03Rik,24
1700008P02Rik,24
1700008P20Rik,15.506
1700009J07Rik,12.311
1700009N14Rik,5.052
1700009P17Rik,13.591
1700010A17Rik,24
1700010B08Rik,6.842
1700010C24Rik,5.81
1700010I02Rik,9.873
1700010I14Rik,2.682
1700010K24Rik,16.271
1700010M22Rik,3.55
1700010N08Rik,9.404
1700011A15Rik,24
1700011E24Rik,21.66
1700011F14Rik,17.818
1700011H14Rik,11.848
1700011J10Rik,11.61
1700011L22Rik,17.157
1700011M02Rik,24
1700012A03Rik,8.707
1700012A16Rik,6.795
1700012B07Rik,6.924
1700012B09Rik,15.134
1700012B15Rik,5.145
1700012G19Rik,4.334
1700012H05Rik,11.054
1700012H17Rik,1.899
1700012L04Rik,10.984
1700013B16Rik,6.107
1700013F07Rik,24
1700013G10Rik,3.922
1700013G23Rik,17.682
1700013G24Rik,8.05
1700013H16Rik,23.104
1700014B07Rik,12.399
1700014N06Rik,24
1700015F17Rik,6.563
1700015G11Rik,6.952
1700015O11Rik,15.101
1700016A09Rik,5.965
1700016D02Rik,15.971
1700016D18Rik,3.472
1700016F12Rik,6.91
1700016G05Rik,11.197
1700016G22Rik,7.625
1700016H13Rik,12.203
1700016J18Rik,3.827
1700016K13Rik,13.004
1700016K19Rik,16.232
1700016M24Rik,13.102
1700016P03Rik,3.756
1700017B05Rik,2.469
1700017D01Rik,24
1700017G19Rik,6.435
1700017G21Rik,24
1700017M07Rik,13.918
1700018A04Rik,15.035
1700018B08Rik,14.592
1700018B24Rik,22.8
1700018C11Rik,9.443
1700018G05Rik,24
1700018L24Rik,6.91
1700018M17Rik,24
1700019A02Rik,24
1700019B03Rik,9.266
1700019B21Rik,24
1700019D03Rik,5.514
1700019E19Rik,8.897
1700019L03Rik,9.303
1700019N12Rik,24
1700019N19Rik,16.045
1700019O17Rik,13.177
1700020A23Rik,8.351
1700020C07Rik,6.815
1700020C11Rik,7.373
1700020D05Rik,2.324
1700020G03Rik,15.934
1700020I14Rik,5.123
1700020L13Rik,6.139
1700020L24Rik,6.289
1700020N01Rik,12.907
1700020N15Rik,12.289
1700020N18Rik,8.078
1700020O03Rik,2.808
1700021A07Rik,4.065
1700021C14Rik,15.576
1700021F05Rik,3.483
1700021F07Rik,24
1700021J08Rik,6.632
1700021K02Rik,14.321
1700021K19Rik,3.258
1700021P22Rik,10.423
1700022A21Rik,5.271
1700022C21Rik,2.821
1700022P22Rik,4.63
1700023A16Rik,12.054
1700023B02Rik,3.638
1700023D09Rik,8.829
1700023D19Rik,10.518
1700023E05Rik,4.294
1700023F06Rik,13.485
1700023G08Rik,12.602
1700023I07Rik,5.824
1700023L04Rik,5.283
1700024B18Rik,24
1700024G10Rik,14.38
1700024G13Rik,7.265
1700024J04Rik,7.273
1700024P03Rik,24
1700024P12Rik,24
1700024P16Rik,7.008
1700025B11Rik,24
1700025E21Rik,4.715
1700025G04Rik,4.351
1700025H01Rik,10.314
1700025K23Rik,24
1700025M24Rik,5.7
1700026D08Rik,15.506
1700026J04Rik,22.359
1700026J12Rik,6.822
1700026J14Rik,5.635
1700026L06Rik,9.56
1700027A23Rik,9.072
1700027D21Rik,21.526
1700027L20Rik,4.143
1700027N10Rik,6.769
1700028B04Rik,7.701
1700028I16Rik,3.228
1700028J19Rik,3.732
1700028K03Rik,7.094
1700028P14Rik,2.369
1700029F09Rik,3.736
1700029F12Rik,5.965
1700029G01Rik,6.808
1700029I01Rik,5.909
1700029I08Rik,15.369
1700029I15Rik,13.835
