"","Var1","Freq"
"290","B3gnt7",6
"291","B4galnt2",1
"292","B4galt1",7
"293","B4galt3",1
"294","B4galt5",1
"295","B9d2",1
"296","Babam1",1
"297","Bach1",2
"298","Bag6",1
"299","Baiap2l1",2
"300","Bak1",2
"301","Bax",1
"302","Baz1a",2
"303","Baz1b",1
"304","Baz2a",2
"305","Baz2b",3
"306","Bbc3",1
"307","Bbip1",1
"308","BC016579",1
"309","Bcar1",1
"310","Bcar3",2
"311","Bcas3",2
"312","Bckdha",1
"313","Bcl11a",1
"314","Bcl2l11",2
"315","Bcl7a",1
"316","Bcl9",1
"317","Bcor",2
"318","Bhlhe40",2
"319","Bicc1",1
"320","Birc2",1
"321","Birc6",1
"322","Blcap",3
"323","Blmh",3
"324","Blnk",2
"325","Bloc1s4",1
"326","Bmf",1
"327","Bmpr1a",4
"328","Bod1",1
"329","Bok",1
"330","Bptf",2
"331","Brd1",2
"332","Brd2",2
"333","Brd8",1
"334","Brwd1",4
"335","Brwd3",1
"336","Bscl2",1
"337","Bsdc1",1
"338","Bsg",4
"339","Btaf1",2
"340","Btbd19",2
"341","Btbd9",2
"342","Btf3",1
"343","Btg1",2
"344","Btg2",10
"345","Btnl5-ps",1
"346","Bub3",1
"347","Bud13",1
"348","Bzw1",1
"349","Bzw2",1
"350","C1galt1",1
"351","C1qtnf6",1
"352","C2cd2l",1
"353","CAAA01224633.1",1
"354","Cab39",3
"355","Cabin1",1
"356","Cables2",1
"357","Cacfd1",3
"358","Cachd1",2
"359","Cacul1",1
"360","Cald1",1
"361","Calm1",1
"362","Calm2",1
"363","Calm3",1
"364","Calml4",1
"365","Calr",1
"366","Calu",1
"367","Camk2n1",1
"368","Camkmt",1
"369","Caml",1
"370","Camsap1",1
"371","Cant1",1
"372","Canx",1
"373","Capn1",3
"374","Capn10",1
"375","Capn2",2
"376","Capn5",6
"377","Capns1",2
"378","Caprin1",2
"379","Capza2",2
"380","Capzb",1
"381","Car1",2
"382","Car13",1
"383","Car2",2
"384","Car9",1
"385","Card14",1
"386","Cask",1
"387","Caskin2",1
"388","Casp2",3
"389","Casp3",2
"390","Casp4",1
"391","Casp7",1
"392","Casp8",2
"393","Casz1",2
"394","Cbl",3
"395","Cblb",2
"396","Cbx5",2
"397","Cbx7",1
"398","Cc2d1a",1
"399","Ccar2",1
"400","Ccdc137",1
"401","Ccdc28b",1
"402","Ccdc6",1
"403","Ccdc71l",4
"404","Ccdc85c",1
"405","Ccdc88c",1
"406","Ccdc9",1
"407","Ccdc91",1
"408","Ccm2",1
"409","Ccna2",3
"410","Ccnb2",1
"411","Ccnd1",10
"412","Ccnd2",12
"413","Ccne2",1
"414","Ccnf",1
"415","Ccng2",3
"416","Ccnk",1
"417","Ccnl1",1
"418","Ccnl2",2
"419","Ccnt1",1
"420","Ccnt2",1
"421","Ccny",4
"422","Ccser1",2
"423","Cct2",1
"424","Cct3",1
"425","Cct4",1
"426","Cct7",1
"427","Cct8",2
"428","Cd14",1
"429","Cd151",1
"430","Cd164",2
"431","Cd177",2
"432","Cd24a",1
"433","Cd274",1
"434","Cd2ap",4
"435","Cd38",7
"436","Cd44",3
"437","Cd63",1
"438","Cd81",2
"439","Cd81 Tssc4",1
"440","Cd9",2
"441","Cdc123",2
"442","Cdc16",1
"443","Cdc23",1
"444","Cdc25a",1
"445","Cdc34",2
"446","Cdc37l1",2
"447","Cdc42",1
"448","Cdc42bpb",1
"449","Cdc42bpg",1
"450","Cdc5l",1
"451","Cdcp1",1
"452","Cdh1",7
"453","Cdh13",1
"454","Cdh17",6
"455","Cdhr2",1
"456","Cdhr5",1
"457","Cdk1",2
"458","Cdk12",1
"459","Cdk13",1
"460","Cdk16",2
"461","Cdk17",2
"462","Cdk19",1
"463","Cdk6",2
"464","Cdkn1a",1
"465","Cdkn1b",3
"466","Cds1",1
"467","Cds2",1
"468","Cdx2",1
"469","Ceacam1",7
"470","Ceacam20",1
"471","Cebpa",1
"472","Cebpd",1
"473","Celf1",3
"474","Celsr1",1
"475","Cep120",1
"476","Cep170b",3
"477","Cep192",1
"478","Cers2",1
"479","Cers6",2
"480","Ces2e",1
"481","Cfap20",1
"482","Cfdp1",1
"483","Cflar",1
"484","Cggbp1",1
"485","Chchd3",1
"486","Chd1",2
"487","Chd2",1
"488","Chd4",2
"489","Chd7",2
"490","Chd9",1
"491","Chdh",2
"492","Chic1",1
"493","Chic2",1
"494","Chmp1a",2
"495","Chmp3",1
"496","Chmp7",2
"497","Chn2",1
"498","Chp1",2
"499","Chst4",1
"500","Chtop",1
"501","Ciapin1",2
"502","Cic",3
"503","Cisd2",2
"504","Cited2",1
"505","Ckap5",1
"506","Ckmt1",3
"507","Clasp1",3
"508","Clasp2",2
"509","Clasrp",1
"510","Clca3b",2
"511","Clca4b",2
"512","Clcn3",3
"513","Cldn12",1
"514","Cldn2",1
"515","Cldn23",2
"516","Cldn4",1
"517","Cldn7",1
"518","Clec16a",1
"519","Clec2d",1
"520","Clec2h",2
"521","Clic1",1
"522","Clint1",4
"523","Clk1",1
"524","Clmn",2
"525","Clock",1
"526","Clp1",1
"527","Clptm1",1
"528","Clpx",1
"529","Cltb",2
"530","Cltc",6
"531","Clu",1
"532","Cluh",3
"533","Cmas",3
"534","Cmip",4
"535","Cmpk1",1
"536","Cmtm4",1
"537","Cmtm6",2
"538","Cmtr2",1
"539","Cnbp",2
"540","Cndp2",1
"541","Cnih1",1
"542","Cnnm4",2
"543","Cnot1",3
"544","Cnot6",4
"545","Cnot6l",2
"546","Cnppd1",5
"547","Cntrl",1
"548","Coa4",1
"549","Coa7",1
"550","Cobll1",2
"551","Cog1",1
"552","Cog2",1
"553","Cog3",2
"554","Cog6",1
"555","Col12a1",1
"556","Col1a1",5
"557","Col1a2",2
"558","Col3a1",3
"559","Col4a1",2
"560","Col4a2",1
"561","Col4a3bp",2
"562","Col5a2",4
"563","Col6a3",2
"564","Colgalt1",1
"565","Commd3",1
"566","Copa",2
"567","Copg1",2
"568","Copg2",1
"569","Cops2",1
"570","Cops3",1
"571","Cops7a",1
"572","Cops7b",1
"573","Coro1c",3
"574","Coro2a",1
"575","Cox5a",2
"576","Cox7a2l",1
"577","Cpd",2
"578","Cpeb2",2
"579","Cpeb4",2
"580","Cped1",1
"581","Cpne1",1
"582","Cpne2",1
"583","Cpne3",2
"584","Cpq",1
"585","Cpsf1",2
"586","Crb3",2
"587","Creb1",1
"588","Creb3l1",1
"589","Crebbp",2
"590","Crebrf",2
"591","Creld2",1
"592","Crip2",1
"593","Crk",1
"594","Crnkl1",1
"595","Cry2",1
"596","Cryl1",1
"597","Cryz",1
"598","Cryzl1",1
"599","Cs",1
"600","Csde1",5
"601","Csnk1a1",4
"602","Csnk1d",2
"603","Csnk2a1",1
"604","Cspp1",1
"605","Cstf2",1
"606","Cstf3",1
"607","Ctcf",1
"608","Ctdnep1",1
"609","Ctdspl",1
"610","Ctdspl2",1
"611","Ctgf",1
"612","Ctnna1",7
"613","Ctnnb1",3
"614","Ctnnd1",9
"615","Ctr9",1
"616","Ctsa",1
"617","Ctsb",2
"618","Ctsc",1
"619","Ctse",1
"620","Ctsh",1
"621","Ctsl",1
"622","Ctss",1
"623","Cttn",2
"624","Ctu1",1
"625","Cul2",1
"626","Cul4b",2
"627","Cul5",1
"628","Cux1",1
"629","Cwf19l1",1
"630","Cwf19l2",1
"631","Cxadr",4
"632","Cxcl10",1
"633","Cxcl9",1
"634","Cxxc5",1
"635","Cyb561",1
"636","Cyb561d1",1
"637","Cyb5b",3
"638","Cyb5r4",1
"639","Cycs",1
"640","Cyfip1",2
"641","Cyp2j6",1
"642","Cyp51",2
"643","Cystm1",2
"644","Cyth1",1
"645","D030056L22Rik",1
"646","Daam1",1
"647","Dad1",2
"648","Dand5",1
"649","Dapk3",1
"650","Dbndd2",1
"651","Dbt",2
"652","Dcaf10",1
"653","Dcaf12",1
"654","Dcaf15",1
"655","Dcaf7",2
"656","Dcaf8",1
"657","Dcbld2",1
"658","Dck",1
"659","Dcp2",2
"660","Dcun1d4",2
"661","Dcxr",2
"662","Ddah1",3
"663","Ddb1",3
"664","Ddi2",4
"665","Ddit4",1
"666","Ddr1",1
"667","Ddx17",2
"668","Ddx39b",1
"669","Ddx3x",4
"670","Ddx5",5
"671","Ddx52",1
"672","Ddx6",3
"673","Ddx60",1
"674","Deaf1",1
"675","Degs2",4
"676","Dek",2
"677","Dennd1b",2
"678","Dennd2d",1
"679","Dennd4c",1
"680","Dennd6a",2
"681","Denr",1
"682","Deptor",2
"683","Dera",1
"684","Derl1",1
"685","Derl2",2
"686","Dffa",1
"687","Dgat2",3
"688","Dgcr2",1
"689","Dgcr8",1
"690","Dgka",2
"691","Dgkd",1
"692","Dgkz",2
"693","Dhcr24",4
"694","Dhcr7",1
"695","Dhrs9",3
"696","Dhx15",1
"697","Dhx32",1
"698","Dhx57",1
"699","Dhx9",2
"700","Diaph1",3
"701","Dicer1",4
"702","Dip2b",1
"703","Dirc2",1
"704","Dis3",1
"705","Dkc1",1
"706","Dlg5",1
"707","Dlgap4",1
"708","Dll1",1
"709","Dlst",2
"710","Dmap1",1
"711","Dmbt1",5
"712","Dmxl1",1
"713","Dnajb12",1
"714","Dnajb5",1
"715","Dnajc10",1
"716","Dnajc13",1
"717","Dnajc3",1
"718","Dnajc30",1
"719","Dnajc5",2
"720","Dnm2",1
"721","Dnmbp",3
"722","Dnmt1",1
"723","Dnmt3a",2
"724","Dnpep",1
"725","Dock4",2
"726","Dock5",2
"727","Dock7",2
"728","Dok4",2
"729","Dolk",1
"730","Dopey1",1
"731","Dopey2",1
"732","Dot1l",4
"733","Dpagt1",2
"734","Dpp3",2
"735","Dpy19l1",1
"736","Dr1",1
"737","Dram2",1
"738","Dsc2",6
"739","Dsg2",2
"740","Dsp",2
"741","Dst",2
"742","Dstn",1
"743","Dstyk",1
"744","Dtd1",1
"745","Dtnbp1",1
"746","Dtx3l",2
"747","Duox2",2
"748","Duoxa2",1
"749","Dusp5",2
"750","Dusp6",1
"751","Dusp7",2
"752","Dusp8",1
"753","Dusp9",1
"754","Dync1h1",5
"755","Dync1i2",2
"756","Dync1li1",1
"757","Dyrk1a",2
"758","Dyrk2",1
"759","E2f1",1
"760","E2f3",1
"761","E2f4",1
"762","Eci2",1
"763","Edc3",1
"764","Edem1",1
"765","Edn1",1
"766","Eea1",3
"767","Eef1a1",3
"768","Eef2",3
"769","Eef2k",1
"770","Efhd2",4
"771","Efna1",2
"772","Efnb1",1
"773","Efnb2",2
"774","Egfr",2
"775","Egln3",2
"776","Egr1",1
"777","Ehbp1l1",1
"778","Ehf",5
"779","Ehhadh",1
"780","Ehmt1",4
"781","Ei24",1
"782","Eid1",1
"783","Eif1a",2
"784","Eif1ad",1
"785","Eif2ak1",1
"786","Eif2b2",1
"787","Eif2b4",1
"788","Eif2s2",1
"789","Eif3a",2
"790","Eif3c",2
"791","Eif3f",2
"792","Eif4a2",1
"793","Eif4b",3
"794","Eif4e",2
"795","Eif4e2",2
"796","Eif4ebp2",2
"797","Eif4enif1",1
"798","Eif4g1",2
"799","Eif4g2",6
"800","Eif4g3",1
"801","Eif4h",1
"802","Eif5",1
"803","Eif5b",1
"804","Elf1",1
"805","Elf2",1
"806","Elf3",1
"807","Elf4",2
"808","Elk4",4
"809","Ell2",1
"810","Elmsan1",2
"811","Eln",2
"812","Emd",1
"813","Emp1",7
"814","Enc1",2
"815","Eno1",1
"816","Enox2",1
"817","Enpp4",1
"818","Entpd6",1
"819","Ep400",1
"820","Epas1",1
"821","Epb41l2",1
"822","Epb41l4b",3
"823","Epc1",2
"824","Epha2",5
"825","Epha4",1
"826","Ephb2",1
"827","Ephb3",2
"828","Epn1",1
"829","Eppk1",2
"830","Eprs",1
"831","Eps15",1
"832","Eps15l1",1
"833","Eps8",4
"834","Eps8l3",3
"835","Erap1",2
"836","Erbb2",1
"837","Erbb2ip",4
"838","Erbb3",4
"839","Erc1",2
"840","Ercc3",1
"841","Ercc4",1
"842","Ereg",1
"843","Ergic1",1
"844","Ergic3",1
"845","Eri3",1
"846","Erlin2",1
"847","Ern2",1
"848","Ero1l",1
"849","Erp29",1
"850","Errfi1",1
"851","Esrp1",3
"852","Esrrg",1
"853","Esyt2",3
"854","Etf1",1
"855","Ethe1",2
"856","Etl4",1
"857","Etnk1",1
"858","Ets2",2
"859","Etv4",1
"860","Etv6",2
"861","Evpl",1
"862","Evx1",1
"863","Ewsr1",1
"864","Exoc4",3
"865","Exoc5",2
"866","Exoc6b",2
"867","Exph5",1
"868","Ext1",3
"869","Extl2",1
"870","Ezh2",1
"871","Ezr",1
"872","F11r",3
"873","F2rl1",3
"874","F3",3
"875","Fabp2",1
"876","Faf1",1
"877","Faf2",1
"878","Fam102a",5
"879","Fam110c",1
"880","Fam117b",1
"881","Fam120a",5
"882","Fam120c",1
"883","Fam129a",1
"884","Fam129b",1
"885","Fam136a",1
"886","Fam13b",1
"887","Fam160a1",2
"888","Fam160b1",2
"889","Fam160b2",2
"890","Fam162a",1
"891","Fam168b",4
"892","Fam171a1",1
"893","Fam188a",1
"894","Fam193b",1
"895","Fam204a",1
"896","Fam208a",2
"897","Fam20b",1
"898","Fam214b",3
"899","Fam222b",2
"900","Fam234a",2
"901","Fam46a",1
"902","Fam63b",1
"903","Fam69a",1
"904","Fam83g",2
"905","Fam83h",4
"906","Fam84a",1
"907","Fam84b",3
"908","Fam96a",1
"909","Fam98c",1
"910","Fancb",1
"911","Far1",1
"912","Farp1",3
"913","Fasn",1
"914","Fastkd5 Ubox5",1
"915","Fat1",2
"916","Fblim1",1
"917","Fbn1",2
"918","Fbrsl1",2
"919","Fbxl17",1
"920","Fbxl19",1
"921","Fbxl5",2
"922","Fbxl6",1
"923","Fbxo21",1
"924","Fbxo22",1
"925","Fbxo31",1
"926","Fbxo32",1
"927","Fcgbp",4
"928","Fcho2",2
"929","Fem1b",1
"930","Fermt1",4
"931","Fez2",2
"932","Fgl2",1
"933","Fh1",1
"934","Fhdc1",1
"935","Fhit",1
"936","Fhl1",5
"937","Fhl2",1
"938","Fhod1",1
"939","Fignl2",1
"940","Fis1 Cldn15",1
"941","Fkbp10",1
"942","Fkbp15",1
"943","Fkbp5",3
"944","Flii",2
"945","Flna",1
"946","Flnb",5
"947","Fmnl2",1
"948","Fmr1",3
"949","Fnbp1",1
"950","Fnbp1l",1
"951","Fndc3a",2
"952","Fndc3b",2
"953","Fos",3
"954","Fosb",1
"955","Fosl2",4
"956","Foxd2",1
"957","Foxf1",1
"958","Foxn2",1
"959","Foxn3",1
"960","Foxo3",3
"961","Foxo4",1
"962","Foxp1",6
"963","Foxred1",1
"964","Fpgs",2
"965","Frk",1
"966","Frmd4a",1
"967","Frrs1",1
"968","Frs2",1
"969","Fry",2
"970","Fryl",7
"971","Fstl1",1
"972","Fstl4",2
"973","Fth1",1
"974","Fto",2
"975","Fubp1",3
"976","Fubp3",1
"977","Fuk",1
"978","Fus",3
"979","Fut2",1
"980","Fut4",1
"981","Fut8",7
"982","Fut9",1
"983","Fxr1",1
"984","Fzd1",1
"985","Fzd4",1
"986","Fzd5",1
"987","G3bp1",3
"988","G3bp2",2
"989","G6pdx",3
"990","Gab1",1
"991","Gale",1
"992","Galnt1",2
"993","Galnt3",2
"994","Galnt6",1
"995","Galnt7",1
"996","Gan",1
"997","Gapdh",1
"998","Gapdhs",1
"999","Garem1",1
"1000","Gart",1
"1001","Gas5",4
"1002","Gas7",1
"1003","Gata6",3
"1004","Gatad2a",1
"1005","Gba2",1
"1006","Gbf1",1
"1007","Gbp5",1
"1008","Gbp7",2
"1009","Gca",1
"1010","Gclc",1
"1011","Gcnt1",1
"1012","Gcnt2",1
"1013","Gcnt3",7
"1014","Gcnt4",1
"1015","Gcsh",1
"1016","Gda",1
"1017","Gdf15",1
"1018","Gdi2",1
"1019","Gdpgp1",1
"1020","Gfer",1
"1021","Gfm1",1
"1022","Gfm2",1
"1023","Gfpt1",5
"1024","Gga3",5
"1025","Ggact",1
"1026","Ggnbp2",1
"1027","Gid8",1
"1028","Gigyf1",4
"1029","Gin1",1
"1030","Ginm1",1
"1031","Git2",1
"1032","Gjb3",2
"1033","Glce",1
"1034","Glg1",2
"1035","Glmp",1
"1036","Glrx3",1
"1037","Gls",1
"1038","Glt1d1",1
"1039","Gltscr1",1
"1040","Glul",2
"1041","Glyr1",1
"1042","Gm23119",1
"1043","Gm24259",1
"1044","Gm26561",1
"1045","Gm47283",1
"1046","Gmds",7
"1047","Gmeb2",1
"1048","Gmfb",1
"1049","Gmnn",2
"1050","Gna11",3
"1051","Gna13",2
"1052","Gna14",2
"1053","Gnai2",4
"1054","Gnai3",2
"1055","Gnaq",1
"1056","Gnas",1
"1057","Gnb1",1
"1058","Gne",3
"1059","Gng12",3
"1060","Gnl3",1
"1061","Gnl3l",3
"1062","Gnpat",1
"1063","Gnpnat1",1
"1064","Golga2",1
"1065","Golga3",1
"1066","Golga4",1
"1067","Golga7",1
"1068","Golm1",6
"1069","Golph3l",1
"1070","Golt1b",1
"1071","Gon4l",1
"1072","Got1",1
"1073","Gpa33",6
"1074","Gpatch3 Gpn2",1
"1075","Gpatch8",2
"1076","Gpbp1 RP23-359G8.3",1
"1077","Gpc4",3
"1078","Gpcpd1",2
"1079","Gphn",2
"1080","Gpi1",1
"1081","Gpr137b",2
"1082","Gprc5a",5
"1083","Gramd1c",1
"1084","Grcc10 RP24-297C1.14",2
"1085","Greb1",2
"1086","Grhl2",2
"1087","Grk6",1
"1088","Grn",2
"1089","Grpel1",1
"1090","Grpel2",1
"1091","Gsap",2
"1092","Gsdmd",1
"1093","Gse1",1
"1094","Gsk3b",2
"1095","Gsn",2
"1096","Gspt1",1
"1097","Gsr",1
"1098","Gsta4",2
"1099","Gstm1",1
"1100","Gstm5",1
"1101","Gsto1",1
"1102","Gstp1",1
"1103","Gt(ROSA)26Sor",1
"1104","Gtf2h1",1
"1105","Gtf2h4",1
"1106","Gtf2i",1
"1107","Gtf2ird1",1
"1108","Gtf3c2",1
"1109","Gtf3c4",1
"1110","Gtpbp1",1
"1111","Gtpbp2",1
"1112","Guca2a",3
"1113","Gucd1",2
"1114","Gucy2c",1
"1115","Gusb",1
"1116","Gxylt1",2
"1117","H19",1
"1118","H1f0",2
"1119","H2-D1",2
"1120","H2-Eb1",3
"1121","H2-K1",2
"1122","H2-Q4",1
"1123","H2afx Dpagt1",1
"1124","H2afy",2
"1125","H3f3a",1
"1126","H3f3b",1
"1127","Hacd1",2
"1128","Hacd2",1
"1129","Hacd3",2
"1130","Hace1",2
"1131","Hadhb",1
"1132","Hbegf",3
"1133","Hbp1",1
"1134","Hbs1l",1
"1135","Hcfc1",1
"1136","Hcn2",1
"1137","Hdac1",1
"1138","Hdac3",1
"1139","Hdlbp",1
"1140","Heatr3",1
"1141","Heatr5a",2
"1142","Heatr5b",1
"1143","Heatr6",1
"1144","Heca",1
"1145","Hectd1",4
"1146","Hells",1
"1147","Helz2",1
"1148","Herc1",1
"1149","Herc3",1
"1150","Herc4",2
"1151","Hes1",1
"1152","Hgsnat",1
"1153","Hibadh",1
"1154","Hic2",1
"1155","Hif1a",2
"1156","Hif3a",2
"1157","Hint1",3
"1158","Hip1r",1
"1159","Hipk1",2
"1160","Hipk3",2
"1161","Hira",1
"1162","Hist1h1e Hist1h2be",1
"1163","Hist1h2ab",1
"1164","Hist1h2be",1
"1165","Hist1h2bh",1
"1166","Hist1h2bk",1
"1167","Hist1h3g Hist1h2af",1
"1168","Hist1h4b",1
"1169","Hivep2",1
"1170","Hk1",2
"1171","Hk2",4
"1172","Hmbs",1
"1173","Hmg20a",1
"1174","Hmga1",1
"1175","Hmgcll1",1
"1176","Hmgcr",8
"1177","Hmgcs1",2
"1178","Hmgcs2",1
"1179","Hmgn1",1
"1180","Hmgn2",1
"1181","Hmgxb4",1
"1182","Hmox2",2
"1183","Hn1",2
"1184","Hnf1b",2
"1185","Hnf4a",5
"1186","Hnrnpa0",1
"1187","Hnrnpa1",2
"1188","Hnrnpa2b1",5
"1189","Hnrnpab",3
"1190","Hnrnpc",2
"1191","Hnrnpd",1
"1192","Hnrnpdl",2
"1193","Hnrnpf",2
"1194","Hnrnph1",2
"1195","Hnrnph3",1
"1196","Hnrnpk",1
"1197","Hnrnpu",1
"1198","Hnrnpul1",1
"1199","Hnrnpul2",1
"1200","Hoga1",1
"1201","Hottip",1
"1202","Hoxa10",3
"1203","Hoxa3 Hoxa6",1
"1204","Hoxa7",2
"1205","Hoxa9",1
"1206","Hoxb13",1
"1207","Hp1bp3",2
"1208","Hprt",1
"1209","Hps6",1
"1210","Hpse",1
"1211","Hs3st1",2
"1212","Hs6st1",2
"1213","Hsd11b2",2
"1214","Hsd17b12",2
"1215","Hsd17b2",1
"1216","Hsdl2",1
"1217","Hsp90aa1",1
"1218","Hsp90ab1",2
"1219","Hsp90b1",1
"1220","Hspa14 RP23-167G19.12",1
"1221","Hspa4",2
"1222","Hspa5",1
"1223","Hspa8",1
"1224","Hspa9",3
"1225","Hspbp1",1
"1226","Hspd1",1
"1227","Htt",2
"1228","Hunk",2
"1229","Hus1",1
"1230","Huwe1",6
"1231","Hyal2",1
"1232","Ibtk",3
"1233","Ice1",1
"1234","Ice2",1
"1235","Ick",2
"1236","Icosl",1
"1237","Id3",1
"1238","Ide",1
"1239","Idh1",3
"1240","Ids",1
"1241","Idua",1
