,gene_names,UniprotID
1,Abcc4,E9Q236
2,Ahnak,E9Q616
3,Btnl6,A2CG22
4,Gm25414,
5,Gprin2,A0A2I3BRN2
6,H19,Q61639
7,Herc1,E9PZP8
8,Hist1h2bc,Q6ZWY9
9,Malat1,B0LAE7
10,March6,Q6ZQ89
11,mt-Rnr2,
12,Muc3,O35419
13,n-R5s46,
14,Neat1,
15,Pfkfb3,Q3U3S6
16,Xist,
