peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak68162,Ly6g,ENSMUSG00000022582,P35461,546644,2.56830078848835,1.35989509425374e-4,1.30109084327688,4.43977919024482e-7,2.16702841975935,1.77376864132299e-4,6.03642005152458
peak149112,Abcb1a,ENSMUSG00000040584,P21447,18671,2.74964501728321,2.02248063987787e-10,1.66315469067008,5.02625888376975e-9,0.517343823368639,0.0183932679409127,4.93014353132193
peak68167,Ly6g,ENSMUSG00000022582,P35461,546644,1.41322480597667,0.0062022773573105,1.30109084327688,4.43977919024482e-7,2.16702841975935,1.77376864132299e-4,4.881344069012901
peak68165,Ly6g,ENSMUSG00000022582,P35461,546644,1.3940829501261,0.049799343171123,1.30109084327688,4.43977919024482e-7,2.16702841975935,1.77376864132299e-4,4.86220221316233
peak201310,Gsta4,ENSMUSG00000032348,P24472,14860,1.76267226719447,5.55832552918151e-4,1.3231423986323,1.94602556258356e-9,1.35275789507199,0.00385150339369115,4.43857256089876
peak40530,Tns4,ENSMUSG00000017607,Q8BZ33,217169,2.37160491909633,0.00696907366854033,0.937538932199034,1.27210524824888e-5,0.884770870800314,4.17693527524978e-4,4.193914722095678
peak210726,Msn,ENSMUSG00000031207,P26041,17698,3.20843923165474,9.63750695390594e-12,0.751787669725645,0.00183259670332603,0.204540997981897,0.00313506687880691,4.164767899362282
peak40535,Tns4,ENSMUSG00000017607,Q8BZ33,217169,2.24723832849923,0.00582387684328392,0.937538932199034,1.27210524824888e-5,0.884770870800314,4.17693527524978e-4,4.0695481314985775
peak126772,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.82111288333127,2.02531870057045e-4,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,4.062265786898098
peak126776,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.64346053348395,1.83502384263814e-4,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,3.8846134370507777
peak126770,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.57496937616228,0.00145154812486654,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,3.8161222797291083
peak8701,Pgap1,ENSMUSG00000073678,Q3UUQ7,241062,1.59123937253499,0.00675316500323078,1.14584268613724,7.39603597373742e-8,1.03606015224076,2.16849026252667e-6,3.7731422109129897
peak126771,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.48237555263462,0.0490459865508742,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,3.723528456201448
peak126775,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.47665934515709,0.00311512337237039,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,3.7178122487239182
peak11258,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,1.73548575915933,4.14061664421687e-5,0.900085501060949,2.7388060226553e-6,1.04912805207175,6.42067666777084e-4,3.684699312292029
peak128133,F3,ENSMUSG00000028128,P20352,14066,1.44305534727584,0.00524470402780717,0.557925455553718,0.0140725264174411,1.66854501319761,0.00147076865800439,3.669525816027168
peak128132,F3,ENSMUSG00000028128,P20352,14066,1.41572050167847,0.00226583187838344,0.557925455553718,0.0140725264174411,1.66854501319761,0.00147076865800439,3.642190970429798
peak126773,S100a14,ENSMUSG00000042306,Q9D2Q8,66166,1.39939587379014,0.02723441617411,0.909830565656428,1.31405629272092e-7,1.3313223379104,5.00177066767269e-4,3.640548777356968
peak11245,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,1.60528427719887,0.00276996045277028,0.900085501060949,2.7388060226553e-6,1.04912805207175,6.42067666777084e-4,3.5544978303315693
peak128136,F3,ENSMUSG00000028128,P20352,14066,1.30646997531684,0.0105427502848733,0.557925455553718,0.0140725264174411,1.66854501319761,0.00147076865800439,3.532940444068168
peak11260,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,1.57033644473999,0.00208026893496465,0.900085501060949,2.7388060226553e-6,1.04912805207175,6.42067666777084e-4,3.519549997872689
peak162319,Cdx2,ENSMUSG00000029646,P43241,12591,2.61723516358899,1.59694284911861e-5,0.538307314560932,0.0157852935475769,0.297388069034223,0.0179840549688768,3.452930547184145
peak11259,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,1.49659404121434,0.0031533145599036,0.900085501060949,2.7388060226553e-6,1.04912805207175,6.42067666777084e-4,3.445807594347039
peak11275,Mfsd4,ENSMUSG00000059149,Q6PDC8,NA,1.44117030106419,0.00511863852679586,0.900085501060949,2.7388060226553e-6,1.04912805207175,6.42067666777084e-4,3.390383854196889
peak126793,S100a16,ENSMUSG00000074457,Q9D708,67860,1.59895547243434,0.00198581982560098,0.630726101668146,7.16842274130488e-5,1.14486082932443,1.50412125302454e-4,3.374542403426916
peak182911,Trpm4,ENSMUSG00000038260,Q7TN37,68667,2.2824230960334,9.63349627711326e-5,0.630344168833868,0.00163263094896853,0.262377261253221,0.0024293738929791,3.1751445261204894
peak157514,Atp8a1,ENSMUSG00000037685,P70704,11980,2.36731172160211,0.00754327776078564,0.544955023008059,0.00414206837357841,0.212436719611804,0.0165436635560483,3.124703464221973
peak25821,Rtn4,ENSMUSG00000020458,Q99P72,68585,1.92098629313151,6.06247266013466e-5,0.44477454725693,8.41521017272363e-5,0.552557849387323,0.00185730205813236,2.918318689775763
peak47618,Esyt2,ENSMUSG00000021171,Q3TZZ7,52635,2.37863395020918,0.00907870621920707,0.289302151419501,0.019268879900414,0.248593738590114,0.00200099809367025,2.916529840218795
peak162139,Baiap2l1,ENSMUSG00000038859,Q9DBJ3,66898,2.31412092845371,0.017608713154464,0.38835953634363,0.0351092711179595,0.196804182991264,0.0126656294099622,2.899284647788604
peak147449,Ephb2,ENSMUSG00000028664,P54763,13844,1.97963941957267,0.00956279484589651,0.446565036469111,4.47106101503294e-4,0.349370081256473,0.00315731835135977,2.775574537298254
peak80985,Sept5,ENSMUSG00000072214,Q9Z2Q6,18951,2.17366959488451,0.0080378512631534,0.422158895006652,0.0106428869454003,0.170521421199791,2.08745636487027e-6,2.766349911090953
peak106328,Pdlim1,ENSMUSG00000055044,O70400,54132,1.86076331896731,0.0195335134542538,0.358017026864912,0.00856790986477552,0.447520656230604,0.00258179090269114,2.666301002062826
peak133482,Usp53,ENSMUSG00000039701,P15975,99526,1.96476600339459,0.0105013157670521,0.383366057429061,0.00694615204334912,0.315470821417866,3.0380343510596e-4,2.663602882241517
peak92328,Zfp36l2,ENSMUSG00000045817,P23949,12193,2.05119597202183,3.23818188002004e-4,0.392252729797084,0.0187344590848756,0.196628703641402,0.00212479637088557,2.640077405460316
peak53986,Serinc5,ENSMUSG00000021703,Q8BHJ6,218442,1.29609891534359,0.0297874377384342,0.638829470491489,2.41311235957847e-5,0.704971298268201,0.00207148745721336,2.63989968410328
peak109315,Fam129b,ENSMUSG00000026796,Q8R1F1,227737,1.79208337778879,0.0249075578486982,0.38745008765314,0.0016060216771617,0.459004942924241,0.00155724137746417,2.638538408366171
peak98766,Rab27b,ENSMUSG00000024511,Q99P58,80718,1.42409778854865,0.00772268834734697,0.552863912237948,5.61009827164846e-5,0.61732860609037,4.95349358043447e-5,2.5942903068769683
peak156879,Prom1,ENSMUSG00000029086,O54990,19126,1.54866766563113,0.0180931611810945,0.351006430285161,0.0192994323454757,0.693691771590969,4.50884369778543e-4,2.59336586750726
peak44143,Rock2,ENSMUSG00000020580,P70336,19878,1.89526550147338,0.0275854873067468,0.364445036805655,0.00337010183650309,0.265747962750694,1.08495680383068e-5,2.525458501029729
peak100124,Ahnak,ENSMUSG00000069833,E9Q616,66395,1.42368362497773,5.3951827430076e-4,0.47495523466554,0.0115292136960347,0.596341778791533,5.86818776003946e-6,2.4949806384348028
peak92327,Zfp36l2,ENSMUSG00000045817,P23949,12193,1.90407769218248,2.22094731099742e-5,0.392252729797084,0.0187344590848756,0.196628703641402,0.00212479637088557,2.492959125620966
peak211360,Vsig1,ENSMUSG00000031430,Q9D2J4,78789,1.27009573623263,0.0355718557198602,0.637697278555153,1.18913304715665e-5,0.506605217823361,4.87042765830166e-4,2.414398232611144
peak88168,Ezr,ENSMUSG00000052397,P26040,22350,1.55878925239236,1.83951780834174e-4,0.541207320470492,4.59958501920889e-4,0.306235822875774,1.59008423686233e-4,2.406232395738626
peak100192,Ahnak,ENSMUSG00000069833,E9Q616,66395,1.3321420206941,0.0238777834393542,0.47495523466554,0.0115292136960347,0.596341778791533,5.86818776003946e-6,2.403439034151173
peak147664,Necap2,ENSMUSG00000028923,Q9D1J1,66147,2.00659890386493,1.14754044688967e-4,0.275043618397605,0.0336260528964053,0.120425667209868,0.0175734142179509,2.4020681894724025
peak129590,Fndc3b,ENSMUSG00000039286,Q6NWW9,72007,1.6794224703893,0.00864891990560259,0.352635632835272,0.0277362773599436,0.3617296849407,0.00138507157352734,2.3937877881652723
peak8099,Mgat4a,ENSMUSG00000026110,Q812G0,269181,1.50542009750688,0.00660469890593648,0.644792234283448,4.20305539675495e-5,0.236041936227486,1.24853229336175e-4,2.3862542680178143
peak96826,Dsc2,ENSMUSG00000024331,P55292,13506,1.67242900639337,1.35989509425374e-4,0.417118880265521,8.58367606786704e-5,0.275730201139518,2.73347340754287e-5,2.365278087798409
peak25851,Rtn4,ENSMUSG00000020458,Q99P72,68585,1.36131162776887,2.3628769368063e-4,0.44477454725693,8.41521017272363e-5,0.552557849387323,0.00185730205813236,2.358644024413123
peak96822,Dsc2,ENSMUSG00000024331,P55292,13506,1.6435206506844,2.2986658147899e-5,0.417118880265521,8.58367606786704e-5,0.275730201139518,2.73347340754287e-5,2.336369732089439
peak55854,Serpinb6a,ENSMUSG00000060147,Q60854,20719,1.20056841203454,0.010619098385304,0.677556308930407,2.05117191786483e-5,0.439438698311395,0.00184782984134417,2.317563419276342
peak159638,Kctd10,ENSMUSG00000001098,Q922M3,330171,1.5376411815035,0.00671025583520661,0.322745209687898,0.0136540239650105,0.426950129096232,7.95895848105438e-5,2.28733652028763
peak39873,Itga3,ENSMUSG00000001507,Q62470,16400,1.61842091219598,0.0109065143356013,0.37342685886585,0.01515716328538,0.276115206085054,4.15411702073875e-4,2.267962977146884
peak59829,Ngly1,ENSMUSG00000021785,Q9JI78,59007,1.79545193470289,0.0427828567872533,0.26536646204456,0.0495613545119148,0.163988469354355,0.0164454856897713,2.2248068661018054
peak201488,Sh3bgrl2,ENSMUSG00000032261,Q8BG73,212531,1.58118034915642,0.00447902703074644,0.289496465318212,0.0372647530218132,0.351746704316254,6.22746415591148e-4,2.222423518790886
peak100267,Ahnak,ENSMUSG00000069833,E9Q616,66395,1.14882925113286,0.0246537150844434,0.47495523466554,0.0115292136960347,0.596341778791533,5.86818776003946e-6,2.2201262645899327
peak119732,Cd44,ENSMUSG00000005087,P15379,12505,1.29613104538991,0.0100088064498882,0.394376637665798,0.0162640366463253,0.529332083545998,6.55395099444269e-4,2.219839766601706
peak167432,Gprc5a,ENSMUSG00000046733,Q8BHL4,232431,1.02833307763581,0.0111735346457462,0.547332898428469,0.0353979496619198,0.636374764133729,9.78761137056324e-4,2.212040740198008
peak39853,Itga3,ENSMUSG00000001507,Q62470,16400,1.55693258438788,0.020396648584202,0.37342685886585,0.01515716328538,0.276115206085054,4.15411702073875e-4,2.206474649338784
peak100243,Ahnak,ENSMUSG00000069833,E9Q616,66395,1.1141363593998,0.0222532310848651,0.47495523466554,0.0115292136960347,0.596341778791533,5.86818776003946e-6,2.185433372856873
peak25858,Rtn4,ENSMUSG00000020458,Q99P72,68585,1.16634639943663,0.0460884085791218,0.44477454725693,8.41521017272363e-5,0.552557849387323,0.00185730205813236,2.163678796080883
peak127854,Eps8l3,ENSMUSG00000040600,Q91WL0,99662,1.48418556433567,8.59326575095725e-5,0.401582113008943,0.0253601186147181,0.269954436651019,0.0100692226018886,2.155722113995632
peak156841,Prom1,ENSMUSG00000029086,O54990,19126,1.10998295450824,0.0062022773573105,0.351006430285161,0.0192994323454757,0.693691771590969,4.50884369778543e-4,2.15468115638437
peak147339,Ephb2,ENSMUSG00000028664,P54763,13844,1.35358758069223,0.0184599346827508,0.446565036469111,4.47106101503294e-4,0.349370081256473,0.00315731835135977,2.149522698417814
peak159626,Kctd10,ENSMUSG00000001098,Q922M3,330171,1.38161037317427,0.0194425956918994,0.322745209687898,0.0136540239650105,0.426950129096232,7.95895848105438e-5,2.1313057119584
peak183565,Lrrk1,ENSMUSG00000015133,Q3UHC2,233328,1.34909668416724,0.0165588067721656,0.371388810410333,0.0154305502805784,0.408654323927634,0.00126900650734247,2.129139818505207
peak88204,Ezr,ENSMUSG00000052397,P26040,22350,1.27695421254714,0.0326848755277306,0.541207320470492,4.59958501920889e-4,0.306235822875774,1.59008423686233e-4,2.1243973558934064
